Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
01-08-2022,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73
15-03-2023,Roberto Rose,Richard Pierce,Ford,F-150,2016,38474,0.1344388368886588,5172.4
29-04-2023,Ashley Ramos,Sandra Moore,Honda,Civic,2016,33340,0.1145359215866074,3818.63
04-09-2022,Patrick Harris,Johnny Scott,Nissan,Altima,2013,41937,0.092190722,3866.2
16-06-2022,Eric Lopez,Vanessa Jones,Chevrolet,Silverado,2022,20256,0.1134897925283973,2298.85
18-12-2022,Terry Perkins MD,John Olsen,Nissan,Altima,2015,14769,0.077246935,1140.86
12-06-2022,Ashley Brown,Tyler Lawson,Ford,F-150,2013,41397,0.1427801204620234,5910.67
20-06-2022,Norma Watkins,Michael Bond,Nissan,Altima,2015,46233,0.071623758,3311.38
02-09-2022,Scott Parker,Stephanie Smith,Toyota,Corolla,2021,27337,0.099503651,2720.13
06-04-2023,Andrew Smith,Ashley Moreno DDS,Honda,Civic,2018,16309,0.1499257819619804,2445.14
12-03-2023,Harold Nelson,Isaac Patton,Chevrolet,Silverado,2021,41259,0.09254116,3818.16
29-01-2023,Richard Richardson,Justin Gray,Chevrolet,Silverado,2022,48224,0.090592146,4368.72
29-05-2022,Mia Acosta,Rebecca Best,Nissan,Altima,2017,36409,0.122348852294727,4454.6
12-08-2022,Lisa Campbell,Lisa Anderson,Ford,F-150,2011,29628,0.1123262938025248,3328.0
06-04-2023,Carrie Howard,Rodney Black,Nissan,Altima,2021,10313,0.1038748946271798,1071.26
21-12-2022,James Velasquez,Natalie Thompson,Toyota,Corolla,2016,36607,0.055250978,2022.57
12-08-2022,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.0520077745192027,2075.94
23-08-2022,Amy Solomon,Taylor Moore,Chevrolet,Silverado,2018,18482,0.086185324,1592.88
18-10-2022,William Williams,Jordan Taylor,Honda,Civic,2013,17158,0.1272277957944463,2182.97
09-03-2023,Patricia Reynolds,Alison Walker,Nissan,Altima,2014,28796,0.093451209,2691.02
28-09-2022,Michelle Gonzalez,Juan Davies,Toyota,Corolla,2014,24128,0.084780882,2045.59
20-12-2022,Jennifer Morris,Kristin Robinson,Honda,Civic,2011,36895,0.1282881088862146,4733.19
26-07-2022,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.1442373310228432,2422.75
18-07-2022,Matthew White,Nancy Martinez,Nissan,Altima,2020,30184,0.13699119341719,4134.94
19-12-2022,Jason Riley,Ruben Gomez,Honda,Civic,2010,41587,0.084404408,3510.13
15-02-2023,Faith Pierce,Jimmy Dunn,Chevrolet,Silverado,2016,35279,0.063399664,2236.68
23-06-2022,Samuel Brown,David Wagner,Ford,F-150,2016,33502,0.1229233255755757,4118.18
14-07-2022,Amber Cooper,Claire Day,Ford,F-150,2018,30296,0.1001703634163577,3034.76
17-07-2022,Paul Potter,Corey West,Toyota,Corolla,2018,28406,0.085246638,2421.52
11-12-2022,Jason Cabrera,Rebecca Hansen,Ford,F-150,2012,20725,0.1450734405945575,3006.65
18-07-2022,Brenda Morales,Jason Hahn,Nissan,Altima,2011,23330,0.068980756,1609.32
13-05-2022,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.1286909795352531,5304.13
05-09-2022,Stephanie Trujillo,April Morales,Chevrolet,Silverado,2022,43188,0.099220141,4285.12
30-12-2022,Shawn Cummings,Kelly Beasley,Nissan,Altima,2013,15064,0.0533816507353572,804.14
02-07-2022,Lacey Cooper,Jennifer Brown,Nissan,Altima,2015,36019,0.098335927,3541.96
04-02-2023,Jennifer Stevens MD,Brittany Gonzales,Honda,Civic,2019,23249,0.1416220406500271,3292.57
08-10-2022,Kristen Becker,Ryan Medina,Honda,Civic,2016,38278,0.0563402793610917,2156.59
24-01-2023,Julie Aguirre,Timothy Mccoy,Chevrolet,Silverado,2018,38307,0.07953119,3046.6
15-04-2023,Victor Murillo,Matthew Anderson,Toyota,Corolla,2015,36834,0.080895726,2979.71
10-08-2022,Nicole Williams,Richard Wolf,Honda,Civic,2012,31941,0.102854838029605,3285.29
25-05-2022,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.062692864,1128.28
15-02-2023,Betty Young,Lynn Villarreal,Toyota,Corolla,2015,44250,0.115044401,5090.71
18-04-2023,Chad Davis,Jesse Dunn,Toyota,Corolla,2013,13194,0.1186212613121137,1565.09
14-11-2022,Lauren Hernandez,Amanda Combs,Honda,Civic,2012,29108,0.1229766281823284,3579.6
24-05-2022,David Diaz,Amy Sanchez,Ford,F-150,2013,26168,0.1362616633540659,3565.7
23-03-2023,Brian Moran,Matthew Peterson,Honda,Civic,2013,14864,0.077744275,1155.59
03-09-2022,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.0618516569277409,1766.73
02-07-2022,Jacob Bishop,Marc Caldwell,Toyota,Corolla,2021,21224,0.093014227,1974.13
16-12-2022,Michael Walton,Edgar Smith,Toyota,Corolla,2011,29018,0.1459687168071691,4235.72
13-03-2023,John Newton,Carrie Hudson,Ford,F-150,2016,45367,0.081734072,3708.03
